Código Institución,Código Modular,Anexo,Nombre de SS.EE.,Ubigeo,Departamento,Provincia,Distrito,Código DRE/UGEL,DRE / UGEL,Centro Poblado,Código Centro Poblado,Código Local,Dirección,Nivel / Modalidad,Gestion / Dependencia,Latitud,Longitud,Altitud,Fuente de coordenadas
20187115.0,1711829,0,361,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WICHIM,150001,792930.0,WICHIM,Inicial - Jardín,Pública - Sector Educación,-5.27208874,-78.3504522,417,UGEL_GPS (LOCAL)
26098734.0,3041100,0,18864,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,WIYANTSA,693208,910368.0,WIYANTSA,Primaria,Pública - Sector Educación,-5.01249075,-78.36665869,506,MED_REG (LOCAL)
25604237.0,263111,0,FE Y ALEGRIA 55 VALENTIN SALEGUI,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAMAKAIENTSA,224155,4828.0,YAMAKAIENTSA S/N,Secundaria,Pública - Sector Educación,-5.04405531,-78.33255185,270,MED_GPS (LOCAL)
22868705.0,402610,0,16352,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAMAYAKAT,532424,3923.0,YAMAYAKAT,Primaria,Pública - Sector Educación,-5.05315222,-78.33813719,290,MED_GPS (LOCAL)
20180919.0,926972,0,265,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAMAYAKAT,532424,3720.0,YAMAYAKAT,Inicial - Jardín,Pública - Sector Educación,-5.05487633,-78.33805698,275,UGELCENSO_GPS (LOCAL)
23147149.0,1723006,0,17858,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAMPIK,682961,804914.0,YAMPIK,Primaria,Pública - Sector Educación,-4.79313096,-78.20297956,260,GPS_OTRAS_FUENTES (LOCAL)
,3877621,0,YAMPIK,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAMPIK,682961,109803.0,YAMPIK,Inicial No Escolarizado,Pública - Sector Educación,-4.793514,-78.202626,246,MED_REG (LOCAL)
22816241.0,554642,0,16324,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YANAT,514630,3862.0,YANAT,Primaria,Pública - Sector Educación,-4.9436,-78.5372,647,GPS_OTRAS_FUENTES (LOCAL)
20183233.0,1620640,0,307,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YANAT,514630,685218.0,YANAT,Inicial - Jardín,Pública - Sector Educación,-4.9441,-78.5375,648,GPS_OTRAS_FUENTES (LOCAL)
26065151.0,3040094,0,JUAN UGKUM AMPAM,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YANAT,514630,910132.0,YANAT,Secundaria,Pública - Sector Educación,-4.9433,-78.53541,650,MED_REG (LOCAL)
20176891.0,917831,0,17164,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YANGUNGA,239649,4569.0,YANGUNGA S/N,Primaria,Pública - Sector Educación,-5.19196449,-78.27875819,324,MED_GPS (LOCAL)
20186461.0,1686625,0,352,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YANGUNGA,239649,770754.0,YANGUNGA,Inicial - Jardín,Pública - Sector Educación,-5.187802,-78.2784813,313,UGEL_GPS (LOCAL)
26109965.0,1663376,0,17860,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAUN KASEN,682326,745439.0,YAUN KASEN,Primaria,Pública - Sector Educación,-4.78248,-78.32059,325,UGELCENSO_GPS (LOCAL)
,1692470,0,YAUN KASEN,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YAUN KASEN,682326,111313.0,YAUN KASEN,Inicial No Escolarizado,Pública - Sector Educación,-4.771088,-78.325503,259,MED_REG (LOCAL)
25078128.0,1464809,0,16317,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YUPICUSA,113084,3796.0,YUPICUSA S/N,Secundaria,Pública - Sector Educación,-5.19161895,-78.37924833,291,MED_GPS (LOCAL)
25078128.0,402263,0,16317,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YUPICUSA,113084,3796.0,YUPICUSA S/N,Primaria,Pública - Sector Educación,-5.19161895,-78.37924833,291,MED_GPS (LOCAL)
20183802.0,1620707,0,315,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,YUPICUSA,113084,685275.0,YUPICUSA,Inicial - Jardín,Pública - Sector Educación,-5.19326657,-78.38015196,307,MED_GPS (LOCAL)
20176301.0,691709,0,17159,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,ALAN GARCIA PEREZ,531987,4512.0,ALAN GARCIA PEREZ S/N,Primaria,Pública - Sector Educación,-4.93100555,-78.12055443,296,MED_GPS (LOCAL)
20174994.0,1623594,0,17088,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,CUZUMATAC,567352,850618.0,CUZUMATAC,Inicial - Jardín,Pública - Sector Educación,-4.91713,-78.10677,284,UGEL_GPS (LOCAL)
,3980123,0,BIKUT,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,LA TUNA,616984,110251.0,LA TUNA,Inicial No Escolarizado,Pública - Sector Educación,-4.977556,-78.126467,391,MED_REG (LOCAL)
25422724.0,1623602,0,16713,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,SUWANTS,546117,4084.0,SUWANTS,Inicial - Jardín,Pública - Sector Educación,-4.89957584,-78.10833481,271,MED_GPS (LOCAL)
25422724.0,843763,0,16713,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,SUWANTS,546117,4084.0,SUWANTS,Primaria,Pública - Sector Educación,-4.89957584,-78.10833481,271,MED_GPS (LOCAL)
,4008313,0,KANTASH ENTSA,10401,AMAZONAS,CONDORCANQUI,NIEVA,10009,IBIR-IMAZA,YUJAKIM / KANTASH ENTSA,654278,117446.0,KANTASH ENTSA,Inicial No Escolarizado,Pública - Sector Educación,-4.969671,-78.065632,299,MED_REG (LOCAL)
